batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss,margin
64,6.841927386335378e-05,Adam,0.7197501704320753,5.481186760325157e-05,36,0.2666666666666666,3.651129722595215,0.7333333333333333,0.5333333333333334,3.651129722595215,11,4,4,11,0.0223920146624247,
32,0.0004395805565703,SGD,0.5096563878537275,1.9811733968389183e-05,46,0.3333333333333333,3.44829535484314,0.7185929648241206,0.4666666666666667,3.2512850761413574,11,5,4,10,0.5317427317301432,
16,0.0001122423630359,SGD,0.8470835594151831,0.0034685716183672,12,0.3333333333333333,3.375653028488159,0.6908212560386473,0.5333333333333334,3.154125928878784,11,7,4,8,0.7239230871200562,
16,0.0214012987189272,SGD,0.679121167007452,0.0072403008919444,22,0.2666666666666666,3.479156255722046,0.7185929648241206,0.6,4.5851874351501465,11,5,4,10,0.0045056790113449,
64,2.616364873918407e-05,SGD,0.8475067926304447,2.5634057770306824e-05,25,0.4,3.268826961517334,0.5879396984924623,0.4666666666666667,2.870500326156616,9,7,6,8,0.6194715102513632,
32,5.2864064128093705e-05,SGD,0.5343618122397434,0.0001243648930453,43,0.4666666666666667,3.221518993377685,0.6,0.2666666666666666,3.6845667362213135,9,6,6,9,0.7220353086789449,
32,1.435096261204647e-05,Adam,0.7644066612815633,0.040050772792371,10,0.2666666666666666,3.3204355239868164,0.7185929648241206,0.4666666666666666,3.3204355239868164,11,5,4,10,0.6300806800524393,
32,2.356191778018525e-05,Adam,0.7262298897620634,1.988238786878651e-05,27,0.3333333333333333,3.336271047592163,0.6532663316582915,0.4666666666666667,3.1287143230438232,10,6,5,9,0.1870067392786344,
64,0.0007026802142314,SGD,0.6674294687629414,4.03592027799205e-05,41,0.2666666666666666,3.438605785369873,0.7185929648241206,0.4666666666666667,3.3623640537261963,11,5,4,10,0.405535360177358,
16,0.0054205933877862,Adam,0.6499105332957047,0.0186703139272053,44,0.3333333333333333,2.646015882492065,0.6666666666666666,0.4,2.0698130130767822,10,5,5,10,0.5637814203898112,
64,0.0007131202967897,Adam,0.888655469418193,0.0001200620508824,20,0.1333333333333333,5.145997524261475,0.8325123152709359,0.6666666666666667,5.145997524261475,13,4,2,11,0.014667622745037,
16,0.0344634940376027,Adam,0.51870317076492,0.0004885990899519,45,0.4,25.65303611755371,0.6403940886699507,0.4,44.645355224609375,10,7,5,8,1.1022969086964924,
16,0.0034187452562663,Adam,0.865928973964339,6.386521228588468e-05,2,0.4192825112107623,0.1850783377885818,0.5807174887892377,0.2130044843049327,0.3244646191596985,259,187,187,259,0.8556778918613087,
32,0.0074364725728828,SGD,0.5210888617853238,0.0572835103302267,1,0.2802690582959641,0.6620631217956543,0.7192347466390899,0.4641255605381166,0.8302901983261108,321,126,125,320,0.5932980333313798,
32,0.0001718615390675,Adam,0.7072859219606681,8.389409816778436e-05,2,0.2443946188340807,0.8079791069030762,0.7573250603240262,0.5156950672645739,0.8179630637168884,338,109,108,337,0.3667471503669565,
32,0.019255467866632,SGD,0.7815680496784232,0.0025971184396102,1,0.2757847533632287,0.7050400376319885,0.7237159600137884,0.4775784753363229,0.9986071586608888,323,124,123,322,0.5851739979151523,
32,0.0171202537168009,Adam,0.7287199293249842,0.0120297305326411,1,0.0650224215246636,0.0271441284567117,0.7389175958661953,0.0067264573991031,1.6436653137207031,418,417,28,29,0.8576585478854902,
32,0.0001573277641232,Adam,0.8564565391234782,0.0293318353634552,1,0.3071748878923767,0.6905394792556763,0.6945880730782489,0.4103139013452915,0.8402746915817261,310,137,136,309,0.6373619270144086,
32,0.0852096473612369,SGD,0.5528165394862021,0.0175077989720394,1,0.3968609865470852,0.4929640889167785,0.6023079572855666,0.2376681614349776,0.59697425365448,269,179,177,267,0.7451329204169187,
