batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
32,0.0003694137055249,Adam,0.6898025859836883,9.977796002013716e-05,35,0.1151241534988713,5.032852,0.8842616692694777,0.7923250564334086,5.7112927,392,52,51,391,0.0059380676883917
32,6.416769423431238e-05,Adam,0.6958955084351695,0.0675837182859024,17,0.1693002257336343,2.0097856521606445,0.8301231997223668,0.6839729119638827,2.270092725753784,368,76,75,367,0.0698689700032656
16,0.0236027358828578,Adam,0.7223041917823776,0.0011606158358119,33,0.2821670428893905,1.0400111675262451,0.7178329571106095,0.4672686230248307,1.2464972734451294,318,125,125,318,0.5128708495543554
16,0.0023375218102258,SGD,0.7562059438721123,0.0182572285097775,46,0.1241534988713318,1.3606557846069336,0.8752385910116259,0.7607223476297968,1.2760504484176636,388,56,55,387,0.0036276046831447
64,0.0017423697090465,Adam,0.6039153144030542,0.0243039683755028,39,0.3069977426636568,0.5177103877067566,0.6925212562901266,0.4266365688487584,0.7652233242988586,307,137,136,306,0.5375277739304762
16,0.0001190098445805,Adam,0.6585712720612744,0.0571932319795926,48,0.1512415349887133,0.916963517665863,0.8510158013544018,0.7832957110609481,1.142857789993286,377,66,66,377,0.0451620949288973
16,0.0002010789200948,Adam,0.8556873193846878,0.0058888674813053,42,0.0428893905191873,1.5964711904525757,0.9587020648967552,0.9209932279909706,1.6082464456558228,425,19,18,424,0.0144322330275407
32,0.0120686153274777,SGD,0.6478507670943995,0.0007563588311941,25,0.1331828442437923,2.3214213848114014,0.868471282318237,0.7516930022573364,2.4159836769104004,385,59,58,384,0.0010239112262542
32,5.7216726749758527e-05,SGD,0.6508975172066374,5.907327184290367e-05,39,0.2708803611738149,1.8718000650405884,0.7313769751693002,0.4966139954853273,1.9511655569076536,324,119,119,324,0.4988635484988872
64,0.0419966270077155,SGD,0.7308490006378583,0.006271229702914,13,0.0632054176072234,1.1916323900222778,0.9384001388165886,0.8826185101580135,1.1550287008285522,416,28,27,415,0.0230403506985077
16,1.13046464797399e-05,SGD,0.8884512474252897,0.0003441992195281,10,0.3047404063205418,1.6906040906906128,0.6947770258545897,0.4085778781038375,1.740097165107727,308,136,135,307,0.7355128792616037
64,1.902536632538865e-05,SGD,0.6954698535445522,4.9789338006871306e-05,41,0.2957110609480812,1.7877153158187866,0.7038001041124414,0.4334085778781038,1.8571144342422483,312,132,131,311,0.6492836030629965
16,0.0537792292426784,SGD,0.8755354341570223,3.979232594790901e-05,37,0.0857787810383747,3.813951730728149,0.913586673607496,0.8419864559819413,4.86811637878418,405,39,38,404,0.0014974776941996
16,0.0001344247931046,SGD,0.6018263401162474,0.0294203804558055,38,0.2325056433408578,1.9003533124923704,0.7692174214818671,0.5462753950338601,1.9285277128219604,341,103,102,340,0.3785566123632284
16,0.0002010007726301,Adam,0.5198237729034265,0.0020160409644303,49,0.078697421981004,2.34360933303833,0.9222743870631196,0.8575305291723202,2.641034841537476,680,58,57,679,0.0205707418801331
16,2.8697895965381327e-05,Adam,0.8494769352087764,1.183717930049513e-05,28,0.0800542740841248,3.037067413330078,0.9209181011997912,0.8480325644504749,2.9621970653533936,679,59,58,678,0.002499295933241
16,0.0701721158276342,Adam,0.6963673413026645,2.9371041483364484e-05,23,0.2659430122116689,2.3175957202911377,0.7351069379238393,0.4911804613297151,2.56149697303772,542,196,195,541,0.4212358106893522
32,0.0083273099056997,SGD,0.6203767450088185,0.018640934025212,10,0.0868385345997286,1.6601405143737793,0.9141366718831508,0.830393487109905,1.927481293678284,674,64,63,673,0.0190121198452457
64,0.0318712038005494,SGD,0.8599998073865918,0.0003802754705442,19,0.0691994572591587,3.4586641788482666,0.932546726532317,0.8738127544097694,3.6916823387146,687,49,50,688,0.0039966699356834
16,0.0007058605413413,Adam,0.8648603567290842,0.0145772556217078,23,0.1438263229308005,0.462296724319458,0.8558163797600418,0.7421981004070557,0.3734743893146515,631,107,106,630,0.2823318702134269
64,0.0027931804965304,Adam,0.806867794395429,0.0019001746779027,21,0.175033921302578,0.9565566778182985,0.824966078697422,0.666214382632293,1.078093647956848,608,129,129,608,0.3348571870786448
16,0.0200670814426333,Adam,0.7552046762864345,0.0046612687553022,14,0.2740841248303934,1.3006936311721802,0.7269692227438707,0.4586160108548168,1.3285737037658691,536,202,201,535,0.5007059622417998
16,3.261502175785696e-05,Adam,0.5044714294739373,0.0001593845933189,16,0.0746268656716417,2.79206919670105,0.9275044395696228,0.8656716417910448,2.886296272277832,683,52,54,685,0.0012560615454007
32,1.0483595790269428e-05,Adam,0.8037037055575865,0.0001722573146354,42,0.0814111261872456,2.7306649684906006,0.9195618153364632,0.8426051560379918,2.6703572273254395,678,60,59,677,0.0009688029617623
64,0.0012880709582109,Adam,0.5735618984956399,0.0180459092879783,32,0.2442333785617367,0.6866394281387329,0.7551360934404004,0.6350067842605156,1.2272478342056274,557,182,180,555,0.2960009103020032
32,0.0020289665155977,Adam,0.69397130702572,1.8273809054906453e-05,32,0.0339213025780189,2.516443252563477,0.9674355495251018,0.943012211668928,3.160048723220825,713,24,24,713,0.0773815264476946
32,4.14328598874998e-05,SGD,0.878570595410811,3.710261294756568e-05,12,0.2198100407055631,1.8873687982559204,0.7798643714136672,0.5603799185888738,1.8897820711135864,575,163,162,574,0.5027620188064046
32,0.0949303431725559,SGD,0.6097967328476077,0.0308786436720862,45,0.0,inf,0.7647058823529411,0.0,inf,737,737,0,0,1.0
