batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,fbeta,ks_statistic_val,optimal_threshold_val
8,0.0017873422785983609,Adam,,0.09179010096582303,25,0.3333333333333333,0.6532663316582915,0.3333333333333333,2.3409552e-06
8,0.016513110715786827,Adam,,0.00010328678576761512,19,0.4,0.5879396984924623,0.4666666666666667,0.00728164
8,0.006935865550551285,Adam,,0.00041885241192742353,14,0.5333333333333333,0.5226130653266332,0.1333333333333333,32.896137
24,0.0015504218740279641,SGD,0.8493714769738343,1.9461559588530663e-05,22,0.4666666666666667,0.5879396984924623,0.20000000000000007,0.52575827
24,0.006052248809597658,SGD,0.6544490679508659,0.008280610483772797,43,0.6,0.47643979057591623,0.4,2.1193502
8,0.0013102600651665028,Adam,,0.0019733527316241296,22,0.4666666666666667,0.5763546798029556,0.19999999999999996,1.5104086
8,1.3025102023623297e-05,Adam,,0.002310460566925333,38,0.4666666666666667,0.6,0.39999999999999997,0.68285626
24,0.08595418281105774,Adam,,0.0005179810382923725,10,0.5333333333333333,0.5123152709359606,0.2666666666666667,3.3214917
8,0.021731267022402547,Adam,,0.008069149799051576,15,0.6666666666666666,0.4748858447488584,0.06666666666666665,1.3325886e-06
8,0.0013523301132177484,SGD,0.5178950193777689,1.1693213497231273e-05,44,0.4,0.5879396984924623,0.33333333333333337,0.70347327
8,0.00041939328074706736,Adam,,0.1,25,0.5333333333333333,0.5445026178010471,0.3333333333333333,1.7690717
8,0.01683599096998788,Adam,,1e-05,38,0.7333333333333333,0.32663316582914576,0.0,inf
8,0.003747344879405655,Adam,,0.1,29,0.7333333333333333,0.3333333333333333,0.0,inf
8,0.002153683214077252,Adam,,0.1,22,0.26666666666666666,0.7044334975369458,0.39999999999999997,1523.2026
8,0.0019324789295246782,SGD,0.5331645818296152,0.1,21,0.4,0.6666666666666666,0.4666666666666666,0.8257026
24,0.002095679356045335,Adam,,0.1,22,0.5333333333333333,0.5123152709359606,0.2666666666666667,0.00019563557
8,0.00017260588075812203,SGD,0.8788599775605537,1e-05,49,0.3333333333333333,0.6532663316582915,0.33333333333333337,0.8682269
24,0.0003877813187628387,SGD,0.6228500719928237,1e-05,50,0.4,0.6532663316582915,0.4666666666666667,0.5286327
8,7.634986289994418e-05,SGD,0.6567324417851013,1e-05,43,0.4,0.5879396984924623,0.2,0.26285633
8,0.000137598289713936,Adam,,0.0005462208644468638,50,0.5333333333333333,0.5445026178010471,0.33333333333333337,1.1302384
24,1.5089008427040928e-05,SGD,0.5024671123578427,1e-05,50,0.3333333333333333,0.7185929648241206,0.4666666666666667,0.36491516
8,1e-05,SGD,0.7796792212834613,1e-05,50,0.4666666666666667,0.5879396984924623,0.2,0.23823296
24,1e-05,SGD,0.8796203298649569,1e-05,43,0.4666666666666667,0.5763546798029556,0.13333333333333336,0.30218008
24,5.904340772696401e-05,SGD,0.838068498791686,1e-05,50,0.6,0.47643979057591623,0.26666666666666666,0.7610377
8,0.001515256088659036,Adam,,0.1,20,0.6,0.4666666666666667,0.2,0.14342576
