batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
64,0.0007801337314192,SGD,0.5194837505637965,0.0002299541639487,45,0.2404494382022471,4.137481212615967,0.7590257384695112,0.550561797752809,4.340503215789795,338,108,107,337,0.1776054970346964
32,0.0049710057098047,Adam,0.5923290056852671,1.042592440879768e-05,29,0.247191011235955,6.932963848114014,0.755056179775281,0.5348314606741573,6.260858535766602,336,109,109,336,0.218285036430909
32,0.0008159362949982,Adam,0.6711765119230945,1.33868252212001e-05,31,0.0561797752808988,7.591752529144287,0.9425168306576904,0.8921348314606742,8.007165908813477,420,27,25,418,7.542921946598934e-05
64,0.0001005673766368,SGD,0.5306094655566036,9.01132651712739e-05,41,0.3258426966292135,3.5668323040008545,0.675470395304678,0.3730337078651685,3.684537410736084,301,146,144,299,0.5448709139457115
16,0.0197610382330356,SGD,0.5284342704973225,2.322912428006241e-05,28,0.1505617977528089,5.5410475730896,0.8510969079288305,0.7101123595505617,5.63948917388916,379,67,66,378,0.0041619590841806
16,2.444262488319853e-05,SGD,0.7503087781873109,3.335550515439503e-05,30,0.346067415730337,3.4198312759399414,0.6530295183842568,0.3078651685393259,3.4038732051849365,291,156,154,289,0.6539896148901719
64,0.0064231946476268,Adam,0.8457904344439018,0.0317272019229504,44,0.3235955056179775,0.4057650864124298,0.6759371221281741,0.3707865168539326,0.6154957413673401,301,145,144,300,0.6646927122886365
16,0.0097605105880242,SGD,0.6178583516570499,0.0025123452722817,15,0.1617977528089887,4.451740264892578,0.8398687165313525,0.6898876404494382,4.54188871383667,374,72,71,373,0.0170095154173815
16,0.0007664587123158,Adam,0.5090133915251754,0.0172469751136418,27,0.2247191011235955,2.214050054550171,0.7747452064259803,0.5595505617977529,2.316855430603028,345,101,100,344,0.2368571098034198
32,0.0104735726292,Adam,0.8566258531097393,0.0112109665283935,23,0.3932584269662921,0.622588574886322,0.6063223354638106,0.2449438202247191,0.7718945741653442,270,176,175,269,0.6394090689145602
